,,,,,SECURED,SECURED,SALES,JV,EARNINGS,CONT,BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131405,Pertamina Energy Tower (Phase 1),511201,Turner Intl LLC Indonesia Branch,Project,2014,2014.JAN,,N,P,M,001,,31 ,2," $233,895 "," $81,637 "," $55,796 "," $94,981 "," $83,170 "," $(56,352)"," $148,501 "," $215,593 "," $102,361 "," $59,293 "," $176,616 "," $56,577 "," $92,747 "," $78,484 "," $80,085 "," $(15,633)"," $50,462 "," $13,771 "," $21,685 "," $7,364 "," $(4,825)"," $1,515 "," $10,685 "," $(2,350)", $900 ," $(7,679)"," $3,701 "," $9,166 "," $(4,601)"," $12,867 "," $(12,867)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131428,Virginia Mason JP5 Phase 2: CathLabs,300421,Seattle SPD,Project,2014,2014.APR,,N,P,CG,008,,28 ,5," $20,962 "," $820,382 "," $901,667 "," $888,763 "," $992,292 "," $923,685 "," $990,456 "," $470,713 "," $681,349 "," $338,917 "," $186,017 "," $86,693 "," $69,916 "," $45,643 "," $27,979 "," $27,999 "," $15,975 "," $2,547 "," $1,508 ", $750 , $649 , $136 , $602 , $(284), $136 , $682 , $817 ," $1,093 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131525,St. Anthony - Shawnee Hospital,300400,Dallas Main,Project,2014,2014.JAN,,N,P,CG,008,,36 ,8," $333,002 "," $312,011 "," $1,829,082 "," $308,330 "," $1,161,986 "," $1,231,112 "," $2,160,020 "," $256,066 "," $1,181,153 "," $2,241,804 "," $2,121,065 "," $1,208,113 "," $3,529,806 "," $2,734,424 "," $423,883 "," $3,989,318 "," $2,264,661 "," $2,258,188 "," $2,742,693 "," $1,924,945 "," $2,788,533 "," $2,185,192 "," $1,597,915 "," $965,771 "," $764,008 "," $550,132 "," $476,280 "," $47,905 "," $749,734 "," $170,432 "," $(260,152)"," $97,989 "," $398,683 "," $1,595 "," $10,716 ", $131 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131571,St Margaret Hall 3rd Floor,300370,Cincinnati Main,Project,2014,2014.JAN,,N,P,CG,008,,20 ,3," $3,902 "," $62,459 "," $113,544 "," $262,198 "," $299,640 "," $136,912 "," $281,282 "," $196,372 "," $233,829 "," $163,245 "," $126,337 "," $78,591 "," $27,582 "," $10,049 "," $17,630 ", $(169), $530 , $(541), $3 , $(18), $0 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131669,TCNJ Campus Town Development,300223,New Jersey Main,Project,2014,2014.JAN,,N,P,CG,005,,48 ,9," $88,718 "," $992,649 "," $455,082 "," $1,098,252 "," $1,467,015 "," $2,726,241 "," $4,147,280 "," $5,053,547 "," $5,939,039 "," $5,590,775 "," $5,744,568 "," $6,172,948 "," $3,454,114 "," $3,765,838 "," $3,796,615 "," $3,840,439 "," $2,491,151 "," $2,606,192 "," $1,352,944 "," $614,587 "," $405,143 "," $159,425 "," $450,866 "," $111,610 "," $(165,641)"," $440,436 "," $126,514 "," $37,765 ", $(618)," $(12,125)", $411 , $36 , $69 , $185 , $40 ," $(12,646)"," $12,715 "," $8,827 ", $11 ," $1,041 ", $262 ," $(38,055)"," $38,055 ", $(663), $(658)," $83,314 "," $1,348 "," $50,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131687,Ohio Holocaust and Liberators Memorial,300373,Columbus SPD,Project,2014,2014.JAN,,N,P,LS,016,,18 ,1," $11,079 "," $2,723 "," $50,342 "," $276,712 "," $75,860 "," $19,772 ", $298 , $118 ," $20,054 "," $3,341 "," $3,119 "," $12,283 "," $1,362 ", $669 , $24 , $(0)," $3,427 "," $5,000 "," $1,168 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131690,GCHI Tenant Enabling,300375,Cleveland SPD,Project,2014,2014.MAR,,N,P,CP,001,,24 ,1, $44 ," $5,448 ", $281 ," $24,586 "," $17,259 ", $448 , $(3)," $5,796 ", $169 , $744 ," $2,680 ", $549 , $273 , $187 , $4 ," $2,620 "," $36,067 ", $193 , $3 , $(0)," $9,054 "," $1,329 "," $3,195 ", $22 , $99 , $(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131716,Intel Irvine Office Renovations,300482,Southern Cal SPD,Project,2014,2014.JAN,,N,P,LS,001,,9 ,1," $8,984 "," $29,342 "," $38,017 "," $123,258 "," $99,552 "," $2,034 "," $3,592 ", $522 , $(0), $44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131718,ISS Corporate HQ TI,300404,San Antonio Main,Project,2014,2014.JAN,,N,P,CG,001,,5 ,1, $76 , $(1)," $8,825 "," $(8,825)"," $8,825 "," $(8,825)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131723,Kaiser Bellflower MOB Demolition,300476,Southern Cal Main,Project,2014,2014.JAN,,N,P,CGS,008,,27 ,6," $70,641 "," $151,416 "," $285,344 "," $123,821 "," $1,026,318 "," $2,511,040 "," $182,749 "," $845,459 "," $1,720,013 "," $411,256 "," $167,349 "," $994,635 "," $172,255 "," $122,135 "," $277,024 "," $19,463 "," $76,652 "," $82,504 "," $51,773 "," $14,843 "," $20,942 "," $10,589 "," $11,970 "," $20,530 "," $(3,631)", $865 , $0 , $(0)," $11,715 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131736,Exchange Building Seismic Upgrade,300421,Seattle SPD,Project,2014,2014.JAN,,N,P,CG,001,,19 ,5," $104,942 "," $118,525 "," $711,302 "," $768,199 "," $863,532 "," $1,198,038 "," $1,223,593 "," $759,959 "," $98,009 "," $150,860 "," $110,415 "," $1,082 "," $7,584 "," $117,512 "," $28,634 ", $529 ," $8,994 "," $1,016 ", $150 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131739,PG&E Vacaville Precon,300451,Bay Area SPD,Project,2014,2014.APR,,N,P,CG,001,,6 ,1," $1,278 "," $14,373 "," $26,420 "," $1,083 ", $7 , $(0), $8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140001,Stockton Courthouse,300453,Sacramento Main,Project,2014,2014.APR,,N,P,CG,010,,49 ,10," $1,096 "," $4,554,850 "," $899,344 "," $3,910,907 "," $7,016,437 "," $5,720,149 "," $4,858,495 "," $5,321,606 "," $7,148,633 "," $8,180,157 "," $7,902,796 "," $12,074,251 "," $9,861,846 "," $11,840,974 "," $9,905,352 "," $9,280,417 "," $9,199,850 "," $8,769,286 "," $10,311,437 "," $9,544,244 "," $6,829,510 "," $7,564,599 "," $6,503,203 "," $6,614,320 "," $6,443,261 "," $4,066,124 "," $4,241,391 "," $3,171,108 "," $2,904,399 "," $3,899,430 "," $2,664,691 "," $2,646,017 "," $3,182,584 "," $2,438,683 "," $3,104,325 "," $2,582,455 "," $3,458,657 "," $5,599,456 "," $2,050,010 "," $1,281,766 "," $1,086,954 "," $1,431,512 "," $1,205,496 "," $136,125 "," $1,527,030 "," $824,674 "," $67,543 "," $810,942 "," $184,848 "," $2,330,637 "," $88,779 "," $100,947 "," $48,853 "," $30,842 "," $25,604 "," $23,850 "," $56,183 "," $22,126 "," $1,070 "," $13,404 "," $5,234 "," $16,516 "," $109,661 "," $9,800 "," $6,054 "," $6,815 "," $320,709 "," $8,853 "," $8,762 "," $12,913 "," $4,949 "," $2,937 "," $5,201 ", $670 ," $1,378 ", $33 , $261 , $63 ," $2,208 ",,,,,
140002,YCBA 2015 Refurbishment Project,300203,Connecticut Main,Project,2014,2014.DEC,,N,P,CG,005,,27 ,7," $5,300 "," $117,655 "," $548,415 "," $946,272 "," $2,033,993 "," $157,006 "," $1,574,656 "," $1,365,212 "," $3,502,071 "," $2,122,115 "," $1,149,561 "," $72,624 "," $1,237,828 "," $502,306 "," $208,848 "," $125,061 "," $24,791 "," $59,285 "," $54,979 "," $1,450 ", $(50), $(4), $361 , $995 , $(998), $12 ," $3,159 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140009,UIUC - State Farm Center Addition & Reno,300385,Chicago Main,Project,2014,2014.JAN,,N,P,M,005,,49 ,6," $998,714 "," $615,861 "," $160,307 "," $424,593 "," $262,293 "," $257,209 "," $100,244 "," $370,569 "," $461,185 "," $289,372 "," $271,680 "," $266,441 "," $301,960 "," $327,123 "," $371,905 "," $341,348 "," $314,963 "," $207,757 "," $519,333 "," $247,311 "," $424,341 "," $326,713 "," $324,426 "," $31,565 "," $(213,597)"," $52,073 "," $152,677 "," $112,782 "," $155,916 "," $113,816 "," $170,727 "," $137,437 "," $118,460 "," $132,225 "," $65,156 "," $100,220 "," $172,516 "," $20,415 "," $117,959 "," $23,282 "," $29,991 "," $(4,159)", $568 , $456 , $492 , $22 ," $3,982 ", $243 , $42 , $615 , $(6), $7 , $0 , $(0)," $85,713 ", $(3)," $2,574 ", $77 , $(0), $(0)," $1,579 ",,,,,,,,,,,,,,,,,,,,,,,
140011,NBC Infrastructure & Data Center Upgrade,300221,NY Interiors,Project,2014,2014.JAN,,N,P,CP,001,,34 ,6," $11,316 "," $1,216,762 "," $1,145,271 "," $1,429,709 "," $1,546,448 "," $2,107,662 "," $673,115 "," $402,653 "," $80,884 "," $188,816 "," $35,798 "," $203,829 "," $115,257 "," $590,991 "," $26,568 "," $4,588 "," $7,155 "," $3,971 "," $7,389 "," $5,418 "," $1,134 ", $701 , $9 ," $(7,303)", $1 , $(0), $(0)," $7,162 "," $7,608 "," $1,642 "," $4,124 "," $5,627 "," $10,210 "," $4,593 "," $3,260 ", $144 , $38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140013,Cuy. Co. Convention Center Hotel - TCCo,300374,Cleveland Main,Project,2014,2014.MAR,,Y,P,CGS,015,,49 ,10," $1,789,905 "," $823,748 "," $2,834,581 "," $1,738,824 "," $1,288,087 "," $4,506,377 "," $4,408,739 "," $3,741,675 "," $2,260,131 "," $4,040,907 "," $4,747,261 "," $4,677,168 "," $4,522,369 "," $4,234,761 "," $5,896,058 "," $6,785,898 "," $7,271,304 "," $6,582,707 "," $5,484,231 "," $6,895,853 "," $4,555,997 "," $5,688,735 "," $3,882,127 "," $4,830,724 "," $3,591,800 "," $2,973,673 "," $2,051,956 "," $940,607 "," $617,482 "," $452,532 "," $187,102 "," $169,367 "," $216,519 "," $(80,864)"," $483,181 "," $210,801 "," $372,017 "," $68,922 "," $215,866 "," $380,606 "," $173,155 "," $73,072 "," $56,884 "," $86,460 "," $76,780 "," $104,606 "," $35,396 "," $1,058 "," $37,941 "," $149,975 "," $61,543 "," $(619,976)"," $(74,264)"," $80,493 ", $293 ," $3,447 "," $39,607 "," $(2,885)"," $81,544 ", $0 ," $(1,809)", $(75), $2 ," $(300,682)", $(54), $169 , $(3), $(165)," $4,139 "," $(109,800)"," $(137,885)",,,,,,,,,,,,,
140015,MHI Compressor Shop,300402,Houston Main,Project,2014,2014.JAN,,N,P,CG,004,,49 ,8, $963 ," $159,792 "," $322,752 "," $569,113 "," $440,828 "," $1,360,971 "," $1,700,219 "," $3,943,066 "," $2,057,807 "," $2,753,701 "," $1,768,586 "," $2,290,316 "," $773,635 "," $1,181,110 "," $(485,736)"," $854,834 "," $723,285 "," $687,283 "," $130,215 "," $676,804 "," $761,337 "," $103,461 "," $837,034 "," $334,030 "," $134,754 "," $61,014 "," $50,363 "," $60,933 "," $69,751 "," $86,400 "," $771,923 "," $109,556 "," $52,112 "," $23,671 "," $144,244 "," $26,547 "," $5,716 "," $4,931 "," $5,239 "," $1,326 "," $96,040 "," $9,139 "," $17,238 "," $7,378 "," $309,440 "," $10,109 ", $(40)," $12,372 "," $18,176 ", $26 ," $2,140 ", $340 , $800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140016,Schwan Cosmetics USA,300365,Nashville Main,Project,2014,2014.APR,,N,P,CG,004,,44 ,7," $9,692 "," $242,034 "," $583,875 "," $2,422,862 "," $1,263,965 "," $2,772,113 "," $998,535 "," $1,754,061 "," $2,390,717 "," $2,061,360 "," $141,111 "," $3,084,914 "," $1,144,135 "," $392,299 "," $(274,940)"," $108,671 "," $73,897 "," $48,859 "," $33,192 "," $(3,992)"," $10,751 "," $(52,415)"," $42,721 "," $27,978 "," $21,067 "," $19,699 ", $622 ," $34,451 "," $30,547 "," $44,124 "," $34,867 "," $5,332 "," $4,067 ", $77 , $(0)," $2,284 ", $124 ," $5,500 "," $4,849 "," $6,777 "," $1,227 ", $84 , $(21)," $4,800 ", $0 , $(160), $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140018,Carmel Manor,300370,Cincinnati Main,Project,2014,2014.AUG,,N,P,CG,008,,39 ,7," $2,285 "," $693,749 "," $380,451 "," $292,745 "," $437,611 "," $535,265 "," $413,463 "," $585,556 "," $843,336 "," $1,158,401 "," $2,776,016 "," $912,099 "," $1,038,902 "," $1,233,574 "," $827,029 "," $1,101,035 "," $810,135 "," $396,151 "," $285,042 "," $195,569 "," $296,899 "," $294,752 "," $410,743 "," $327,455 "," $371,323 "," $388,664 "," $148,739 "," $86,252 "," $60,440 "," $143,220 "," $2,698 "," $(7,780)", $40 , $208 ," $1,379 "," $1,369 "," $1,180 "," $1,830 ", $562 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140019,Le Bonheur Office Building and Garage,300365,Nashville Main,Project,2014,2014.FEB,,N,P,CGS,008,,42 ,7," $49,391 "," $553,381 "," $2,370,180 "," $1,293,963 "," $919,633 "," $1,903,431 "," $1,635,659 "," $1,383,888 "," $926,471 "," $638,975 "," $624,460 "," $767,363 "," $492,484 "," $1,012,583 "," $1,878,072 "," $2,153,731 "," $1,455,906 "," $1,075,535 "," $1,321,529 "," $641,316 "," $394,188 "," $122,961 "," $81,903 "," $40,261 "," $23,637 "," $1,117 "," $(2,516)"," $21,978 "," $14,666 "," $32,295 "," $33,577 "," $18,680 "," $22,071 "," $6,520 "," $35,980 "," $17,413 "," $7,455 "," $6,807 "," $13,060 "," $6,733 "," $3,312 "," $3,834 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140020,GOAA Intermodal Terminal Facility,300355,Orlando Main,Project,2014,2014.FEB,,Y,P,CG,014,,39 ,2, $51 ," $76,012 "," $191,123 "," $(10,913)"," $50,116 ", $27 ," $148,055 "," $79,782 "," $45,479 "," $185,434 "," $4,301 "," $238,936 "," $187,303 "," $190,943 "," $18,539 "," $248,840 "," $41,123 "," $65,448 ", $312 ," $6,837 ", $110 , $24 , $329 , $84 , $251 , $(251), $242 , $(242), $0 , $(0)," $(33,279)"," $(87,158)"," $87,176 "," $(217,531)"," $103,439 "," $331,624 ", $0 ," $(571,534)"," $571,569 ", $889 , $233 , $278 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140021,UBS Bluestone Generator Upgrades,300204,Connecticut SPD,Project,2014,2014.MAY,,N,P,CP,003,,25 ,5," $18,270 "," $162,404 "," $1,026,573 "," $706,941 "," $81,191 "," $309,027 "," $898,095 "," $2,123,623 "," $447,081 "," $376,789 "," $619,645 "," $228,221 "," $93,456 "," $107,193 "," $145,691 "," $8,397 "," $2,160 "," $5,436 "," $3,064 "," $1,256 ", $430 , $474 , $357 , $11 , $(0), $(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140023,Otay Tijuana Cross Border Facility,300480,San Diego Main,Project,2014,2014.JAN,,N,P,CG,014,,34 ,8," $8,188 "," $370,447 "," $(1,311)"," $27,259 "," $166,292 "," $1,436,369 "," $2,127,835 "," $2,559,769 "," $1,619,145 "," $2,173,872 "," $2,124,617 "," $1,484,961 "," $2,528,285 "," $2,159,068 "," $3,201,665 "," $2,821,323 "," $2,302,053 "," $2,589,298 "," $1,920,599 "," $935,253 "," $831,978 "," $505,045 "," $107,196 "," $72,973 "," $22,211 "," $46,283 "," $52,146 "," $(4,874)"," $8,198 "," $5,766 "," $5,750 "," $8,369 "," $1,748 ", $977 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140024,"JPMC - 4NYP, 19th & 21st Fls",300221,NY Interiors,Project,2014,2014.JAN,,N,P,LS,001,,31 ,6," $4,544 "," $397,263 "," $6,243,748 "," $240,784 "," $228,711 "," $34,609 "," $35,386 "," $83,120 "," $74,178 "," $56,385 "," $46,016 "," $1,060,210 "," $22,980 "," $6,079 "," $2,681 "," $5,956 "," $5,466 "," $3,188 "," $1,259 "," $1,375 "," $2,712 "," $2,636 ", $392 , $36 , $(1), $925 , $296 , $72 , $0 ," $3,478 "," $1,624 ", $60 , $980 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140026,American Express Centurion Lounge SFO T3,300451,Bay Area SPD,Project,2014,2014.JAN,,N,P,CG,014,,27 ,6," $48,903 "," $211,592 "," $494,296 "," $388,792 "," $892,696 "," $2,042,188 "," $1,069,171 "," $1,374,824 "," $836,479 "," $433,198 "," $138,922 "," $38,674 "," $144,536 "," $38,872 "," $25,777 "," $483,772 ", $130 , $790 , $147 ," $1,177 "," $(3,061)", $839 , $684 , $644 ," $7,093 "," $1,201 ", $154 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140027,"BPO Office Space - 250 Vesey St, 12th Fl",300221,NY Interiors,Project,2014,2014.JAN,,N,P,CG,001,,23 ,5," $429,943 "," $2,455,433 "," $1,152,518 "," $998,340 "," $686,796 "," $217,060 "," $28,403 "," $28,498 "," $62,462 "," $82,049 ", $353 , $121 ," $14,916 "," $1,034 "," $40,319 ", $491 , $(7)," $11,069 ", $0 , $(0), $117 ," $6,015 "," $(3,600)"," $3,600 "," $4,745 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140029,Intel - SPGC 2014 - 2016,300425,Portland Main,Project,2014,2014.JAN,,N,P,LS,004,,39 ,9," $417,872 "," $2,153,348 "," $2,042,607 "," $4,015,198 "," $1,982,777 "," $6,838,772 "," $3,907,113 "," $2,976,674 "," $1,367,869 "," $4,311,932 "," $4,882,002 "," $4,110,098 "," $2,922,072 "," $3,378,017 "," $3,353,353 "," $3,579,570 "," $3,259,596 "," $2,511,076 "," $2,591,952 "," $3,854,082 "," $5,479,244 "," $3,944,624 "," $3,476,332 "," $5,030,625 "," $1,070,434 "," $2,988,427 "," $2,729,319 "," $2,556,183 "," $928,891 "," $1,475,941 "," $878,586 "," $654,913 "," $900,364 "," $204,996 "," $402,260 "," $290,283 "," $11,319 "," $8,125 ", $(171), $1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
